date,total_calories
2016-03-12,76810
2016-03-13,75093
2016-03-14,73433
2016-03-15,74640
2016-03-16,76178
2016-03-17,75331
2016-03-18,74619
2016-03-19,70996
2016-03-20,70860
2016-03-21,69441
2016-03-22,71602
2016-03-23,72642
2016-03-24,71699
2016-03-25,69925
2016-03-26,72813
2016-03-27,75067
2016-03-28,75726
2016-03-29,75484
2016-03-30,75507
2016-03-31,76734
2016-04-01,76118
2016-04-02,77267
2016-04-03,72278
2016-04-04,73369
2016-04-05,77085
2016-04-06,76543
2016-04-07,75202
2016-04-08,73921
2016-04-09,67519
2016-04-10,57965
2016-04-11,54275
2016-04-12,77121
2016-04-13,74485
2016-04-14,77804
2016-04-15,77384
2016-04-16,75881
2016-04-17,70980
2016-04-18,74647
2016-04-19,75438
2016-04-20,76658
2016-04-21,74717
2016-04-22,74152
2016-04-23,76717
2016-04-24,73308
2016-04-25,75166
2016-04-26,74608
2016-04-27,74512
2016-04-28,74129
2016-04-29,72604
2016-04-30,73598
2016-05-01,66723
2016-05-02,65074
2016-05-03,69970
2016-05-04,65697
2016-05-05,69007
2016-05-06,68919
2016-05-07,64913
2016-05-08,62186
2016-05-09,62783
2016-05-10,57886
2016-05-11,52261
2016-05-12,22822
