date,total_steps
2016-03-12,249831
2016-03-13,239335
2016-03-14,207043
2016-03-15,234877
2016-03-16,253665
2016-03-17,246003
2016-03-18,239986
2016-03-19,183038
2016-03-20,198682
2016-03-21,175844
2016-03-22,193512
2016-03-23,196937
2016-03-24,186330
2016-03-25,173379
2016-03-26,203346
2016-03-27,205863
2016-03-28,209299
2016-03-29,217714
2016-03-30,221553
2016-03-31,240894
2016-04-01,233155
2016-04-02,252621
2016-04-03,216136
2016-04-04,257029
2016-04-05,248360
2016-04-06,263522
2016-04-07,252702
2016-04-08,249921
2016-04-09,240555
2016-04-10,181979
2016-04-11,186045
2016-04-12,253871
2016-04-13,227918
2016-04-14,255136
2016-04-15,246145
2016-04-16,272132
2016-04-17,202044
2016-04-18,252238
2016-04-19,257338
2016-04-20,261079
2016-04-21,250112
2016-04-22,237723
2016-04-23,267065
2016-04-24,236591
2016-04-25,253763
2016-04-26,250648
2016-04-27,258410
2016-04-28,242904
2016-04-29,233858
2016-04-30,258669
2016-05-01,205900
2016-05-02,195646
2016-05-03,236042
2016-05-04,192271
2016-05-05,242203
2016-05-06,216955
2016-05-07,206048
2016-05-08,190255
2016-05-09,221035
2016-05-10,206533
2016-05-11,178196
2016-05-12,66628
